label,window_start,source,service,src_ip_hash,src_ip_masked,attempts,unique_users,unique_passwords,success_count,mean_interarrival_s,min_interarrival_s,pass_entropy_mean,baseline_alert,if_pred,if_score,events_in_window,login_fail_like,login_success,top_usernames,top_passwords,example_events
<<<<<<< HEAD
,2025-07-22 03:40:00+00:00,cowrie,ssh,e39595777ef95f86,207.148.134.0/24,22,1,22,0,14.10411163893613,7.372457027435303,2.5006777772801647,1,0,0.1448354475049399,94,19,0,4a751676389d52bc:19,"61aa0c95de42a965:1, 6bf6b45528a9f644:1, 9919bad020403769:1, 24e946d30848fd97:1, 0ec333759497a163:1","2025-07-22 05:40:00.675316 | login_fail | cowrie.login.failed | cmd=login attempt [root/killer123] failed
2025-07-22 05:40:04.623904 | disconnect | cowrie.session.closed | cmd=Connection lost after 16.0 seconds
2025-07-22 05:40:05.144333 | connect | cowrie.session.connect | cmd=New connection: 207.148.134.251:53338 (62.171.177.34:22) [session: d445ef4fd7bc]"
,2025-06-19 01:40:00+00:00,cowrie,ssh,381c98f66fbc8595,134.199.145.0/24,64,46,46,0,4.6254450008273125,4.023822069168091,2.398684737251487,1,0,0.0089496867173048,0,0,0,,,
,2025-08-02 00:45:00+00:00,cowrie,ssh,9e3253df4bbbe325,82.115.21.0/24,1,1,1,0,1396471.9625461102,1396471.9625461102,2.4056390622295662,0,1,-0.0192021646046908,0,0,0,,,
,2025-06-18 14:15:00+00:00,cowrie,ssh,22d0eda6efcbd601,45.78.198.0/24,120,1,120,0,2.496753325064977,2.4167158603668213,2.9039468207622576,1,0,0.0543941008832624,597,120,0,4a751676389d52bc:120,"fccf11e24d8b90ae:1, 30f83dd150511a37:1, e4fe0b2aa4ed5d4b:1, 1cf1074c1a6238b3:1, 218deb3ec23b50f8:1","2025-06-18 16:15:00.159956 | other | cowrie.client.kex | cmd=SSH client hassh fingerprint: 98f63c4d9c87edbd97ed4747fa031019
2025-06-18 16:15:00.887557 | login_fail | cowrie.login.failed | cmd=login attempt [root/eGova@2024 ] failed
2025-06-18 16:15:02.130030 | disconnect | cowrie.session.closed | cmd=Connection lost after 2.2 seconds"
,2025-06-27 05:25:00+00:00,cowrie,ssh,66cb4c27a98578c5,195.182.25.0/24,22,17,20,0,13.689464233138343,7.478691101074219,2.4149906597270805,1,0,0.0885781064401326,0,0,0,,,
,2025-06-17 04:30:00+00:00,cowrie,ssh,200e85ea337578b4,46.62.130.0/24,43,29,31,0,6.954879932625349,2.7244069576263428,2.572817485437904,1,0,0.0380171970386864,0,0,0,,,
,2025-06-14 02:30:00+00:00,cowrie,ssh,52a3d241c2a069b9,43.254.33.0/24,30,6,26,0,0.6881828225892166,0.5480480194091797,2.4710499463029136,1,0,0.0794264005042462,0,0,0,,,
,2025-07-24 14:50:00+00:00,cowrie,ssh,dd207aa569b5d487,45.115.155.0/24,1,1,1,0,33434.35671401024,33434.35671401024,3.2389012566026314,0,0,0.3070108516090076,0,0,0,,,
,2025-06-19 21:10:00+00:00,cowrie,ssh,b8cda9d0613ac94b,213.169.137.0/24,24,1,24,0,1.5114959219227666,1.350697040557861,2.083021982893134,1,0,0.1111867236727833,0,0,0,,,
